internship_id,company,job_title,category,location,work_mode,duration_months,duration_text,start_date,stipend_min_inr,stipend_max_inr,required_skills,description,eligibility,source_type,source_url
INT-0025,Uber,Cloud Engineering Intern,Cloud,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,15000,AWS|Linux|Networking|Python|Docker,"Cloud Engineering Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0026,EY,AWS Cloud Intern,Cloud,"Gurugram, Haryana",Hybrid,3,3 months,,5000,10000,AWS|Linux|Docker|Networking|Git,"AWS Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0027,KPMG,Azure Cloud Intern,Cloud,"Pune, Maharashtra",Hybrid,4,4 months,,7000,15000,Azure|Linux|Networking|Python|Cloud,"Azure Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0028,PwC,DevOps Intern,DevOps,"Remote, India",Remote,6,6 months,,8000,11000,Linux|Docker|Kubernetes|CI/CD|AWS,"DevOps Intern focused on practical work, mentoring, and project-based learning in DevOps.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0029,Cisco,Site Reliability Engineering Intern,DevOps/SRE,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,15000,Linux|Docker|Kubernetes|Monitoring|Python,"Site Reliability Engineering Intern focused on practical work, mentoring, and project-based learning in DevOps/SRE.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0030,Oracle,Cybersecurity Intern,Cybersecurity,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,20000,Networking|Linux|Cybersecurity|Python|SIEM,"Cybersecurity Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0031,SAP,Security Analyst Intern,Cybersecurity,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,8000,SIEM|Networking|Linux|Incident Response|Cybersecurity,"Security Analyst Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0032,Adobe,Network Engineering Intern,Networking,"Kochi, Kerala",Hybrid,6,6 months,,7000,12000,Networking|Linux|CCNA|Python|Troubleshooting,"Network Engineering Intern focused on practical work, mentoring, and project-based learning in Networking.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0033,NVIDIA,QA Testing Intern,Testing,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,16000,Manual Testing|Test Cases|Bug Tracking|SQL|Git,"QA Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0034,Intel,Automation Testing Intern,Testing,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,13000,Selenium|Java|Python|API Testing|Git,"Automation Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0035,Qualcomm,API Testing Intern,Testing,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,17000,Postman|REST APIs|API Testing|SQL|Python,"API Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0036,Dell Technologies,Database Intern,Database,"Gurugram, Haryana",Hybrid,6,6 months,,5000,13000,SQL|MySQL|PostgreSQL|Database Design|Git,"Database Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0037,HP,PostgreSQL Developer Intern,Database,"Pune, Maharashtra",Hybrid,2,2 months,,7000,10000,PostgreSQL|SQL|Python|Database Design|Git,"PostgreSQL Developer Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0038,Salesforce,Business Analyst Intern,Business Analytics,"Remote, India",Remote,3,3 months,,8000,13000,Excel|SQL|Power BI|Communication|Data Analysis,"Business Analyst Intern focused on practical work, mentoring, and project-based learning in Business Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0039,Atlassian,Product Analyst Intern,Product Analytics,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,18000,SQL|Excel|Data Analysis|A/B Testing|Communication,"Product Analyst Intern focused on practical work, mentoring, and project-based learning in Product Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0040,LinkedIn,Project Coordinator Intern,Project Management,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,15000,Communication|Excel|Jira|Documentation|Problem Solving,"Project Coordinator Intern focused on practical work, mentoring, and project-based learning in Project Management.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0041,PayPal,Technical Support Intern,IT Support,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,10000,Networking|Linux|Troubleshooting|SQL|Communication,"Technical Support Intern focused on practical work, mentoring, and project-based learning in IT Support.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0042,JPMorgan Chase,Embedded Systems Intern,Embedded,"Kochi, Kerala",Hybrid,3,3 months,,7000,15000,C|C++|Embedded Systems|Linux|Debugging,"Embedded Systems Intern focused on practical work, mentoring, and project-based learning in Embedded.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0043,Goldman Sachs,IoT Intern,IoT,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,11000,Python|IoT|MQTT|Linux|Cloud,"IoT Intern focused on practical work, mentoring, and project-based learning in IoT.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0044,Morgan Stanley,Robotics Intern,Robotics,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,15000,Python|C++|ROS|Robotics|Computer Vision,"Robotics Intern focused on practical work, mentoring, and project-based learning in Robotics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0045,HSBC,Blockchain Developer Intern,Blockchain,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,20000,Solidity|JavaScript|Ethereum|Web3|Git,"Blockchain Developer Intern focused on practical work, mentoring, and project-based learning in Blockchain.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0046,Siemens,AR/VR Developer Intern,AR/VR,"Gurugram, Haryana",Hybrid,3,3 months,,5000,8000,Unity|C#|3D Modeling|AR|VR,"AR/VR Developer Intern focused on practical work, mentoring, and project-based learning in AR/VR.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0047,Bosch,Game Developer Intern,Game Development,"Pune, Maharashtra",Hybrid,4,4 months,,7000,12000,Unity|C#|Game Design|3D|Git,"Game Developer Intern focused on practical work, mentoring, and project-based learning in Game Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0048,Honeywell,Frontend Developer Intern,Frontend,"Remote, India",Remote,6,6 months,,8000,16000,HTML|CSS|JavaScript|React|Git,"Frontend Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0049,Schneider Electric,React Developer Intern,Frontend,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,13000,React|JavaScript|HTML|CSS|Git,"React Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0050,Jio Platforms,UI Developer Intern,Frontend/UI,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,17000,HTML|CSS|JavaScript|React|Responsive Design,"UI Developer Intern focused on practical work, mentoring, and project-based learning in Frontend/UI.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0051,Myntra,Web Developer Intern,Web Development,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,13000,HTML|CSS|JavaScript|REST APIs|Git,"Web Developer Intern focused on practical work, mentoring, and project-based learning in Web Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0052,Meesho,Backend Developer Intern,Backend,"Kochi, Kerala",Hybrid,6,6 months,,7000,10000,Python|FastAPI|SQL|REST APIs|Git,"Backend Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0053,Groww,Python Developer Intern,Backend,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,13000,Python|Django|FastAPI|SQL|Git,"Python Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0054,MakeMyTrip,Java Developer Intern,Backend/Java,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,18000,Java|OOP|Spring Boot|SQL|Git,"Java Developer Intern focused on practical work, mentoring, and project-based learning in Backend/Java.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0055,BookMyShow,Node.js Developer Intern,Backend,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,15000,Node.js|JavaScript|Express.js|REST APIs|SQL,"Node.js Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0056,Tata Digital,Full Stack Developer Intern,Full Stack,"Gurugram, Haryana",Hybrid,6,6 months,,5000,10000,React|JavaScript|Node.js|SQL|Git,"Full Stack Developer Intern focused on practical work, mentoring, and project-based learning in Full Stack.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0057,UST,Software Engineer Intern,Software Development,"Pune, Maharashtra",Hybrid,2,2 months,,7000,15000,Python|Java|DSA|OOP|Git,"Software Engineer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0058,LTIMindtree,Software Developer Intern,Software Development,"Remote, India",Remote,3,3 months,,8000,11000,Python|Java|SQL|Git|Problem Solving,"Software Developer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0059,Coforge,Mobile App Developer Intern,Mobile,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,15000,Kotlin|Android|REST APIs|Git|UI Design,"Mobile App Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0060,Hexaware,Android Developer Intern,Mobile,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,20000,Kotlin|Android|Jetpack Compose|REST APIs|Git,"Android Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0061,Virtusa,iOS Developer Intern,Mobile,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,8000,Swift|iOS|Xcode|REST APIs|Git,"iOS Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0062,Zensar,UI/UX Designer Intern,UI/UX,"Kochi, Kerala",Hybrid,3,3 months,,7000,12000,Figma|Wireframing|Prototyping|User Research|UI Design,"UI/UX Designer Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0063,CitiusTech,Product Design Intern,UI/UX,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,16000,Figma|Design Thinking|Prototyping|User Research|UX Design,"Product Design Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0064,BrowserStack,Graphic Design Intern,Design,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,13000,Figma|Photoshop|Illustrator|Typography|Branding,"Graphic Design Intern focused on practical work, mentoring, and project-based learning in Design.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0065,Postman,Data Analyst Intern,Data Analytics,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,17000,Excel|SQL|Python|Data Analysis|Power BI,"Data Analyst Intern focused on practical work, mentoring, and project-based learning in Data Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0066,Chargebee,Data Science Intern,Data Science,"Gurugram, Haryana",Hybrid,3,3 months,,5000,13000,Python|Pandas|NumPy|SQL|Machine Learning,"Data Science Intern focused on practical work, mentoring, and project-based learning in Data Science.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0067,Infosys,Data Engineering Intern,Data Engineering,"Pune, Maharashtra",Hybrid,4,4 months,,7000,10000,Python|SQL|ETL|Data Warehousing|Git,"Data Engineering Intern focused on practical work, mentoring, and project-based learning in Data Engineering.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0068,TCS,Machine Learning Intern,AI/ML,"Remote, India",Remote,6,6 months,,8000,13000,Python|Pandas|scikit-learn|Machine Learning|SQL,"Machine Learning Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0069,Wipro,AI/ML Intern,AI/ML,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,18000,Python|PyTorch|Deep Learning|Machine Learning|NumPy,"AI/ML Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0070,Accenture,NLP Intern,AI/ML,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,15000,Python|NLP|Transformers|PyTorch|Machine Learning,"NLP Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0071,Deloitte,Computer Vision Intern,AI/ML,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,10000,Python|OpenCV|PyTorch|Deep Learning|Computer Vision,"Computer Vision Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0072,IBM,Cloud Engineering Intern,Cloud,"Kochi, Kerala",Hybrid,6,6 months,,7000,15000,AWS|Linux|Networking|Python|Docker,"Cloud Engineering Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0073,Microsoft,AWS Cloud Intern,Cloud,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,11000,AWS|Linux|Docker|Networking|Git,"AWS Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0074,Amazon,Azure Cloud Intern,Cloud,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,15000,Azure|Linux|Networking|Python|Cloud,"Azure Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0075,Google,DevOps Intern,DevOps,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,20000,Linux|Docker|Kubernetes|CI/CD|AWS,"DevOps Intern focused on practical work, mentoring, and project-based learning in DevOps.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0076,Cognizant,Site Reliability Engineering Intern,DevOps/SRE,"Gurugram, Haryana",Hybrid,6,6 months,,5000,8000,Linux|Docker|Kubernetes|Monitoring|Python,"Site Reliability Engineering Intern focused on practical work, mentoring, and project-based learning in DevOps/SRE.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0077,HCLTech,Cybersecurity Intern,Cybersecurity,"Pune, Maharashtra",Hybrid,2,2 months,,7000,12000,Networking|Linux|Cybersecurity|Python|SIEM,"Cybersecurity Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0078,Tech Mahindra,Security Analyst Intern,Cybersecurity,"Remote, India",Remote,3,3 months,,8000,16000,SIEM|Networking|Linux|Incident Response|Cybersecurity,"Security Analyst Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0079,Capgemini,Network Engineering Intern,Networking,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,13000,Networking|Linux|CCNA|Python|Troubleshooting,"Network Engineering Intern focused on practical work, mentoring, and project-based learning in Networking.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0080,Mphasis,QA Testing Intern,Testing,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,17000,Manual Testing|Test Cases|Bug Tracking|SQL|Git,"QA Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0081,Persistent Systems,Automation Testing Intern,Testing,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,13000,Selenium|Java|Python|API Testing|Git,"Automation Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0082,Zoho,API Testing Intern,Testing,"Kochi, Kerala",Hybrid,3,3 months,,7000,10000,Postman|REST APIs|API Testing|SQL|Python,"API Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0083,Freshworks,Database Intern,Database,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,13000,SQL|MySQL|PostgreSQL|Database Design|Git,"Database Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0084,Razorpay,PostgreSQL Developer Intern,Database,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,18000,PostgreSQL|SQL|Python|Database Design|Git,"PostgreSQL Developer Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0085,Swiggy,Business Analyst Intern,Business Analytics,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,15000,Excel|SQL|Power BI|Communication|Data Analysis,"Business Analyst Intern focused on practical work, mentoring, and project-based learning in Business Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0086,Zomato,Product Analyst Intern,Product Analytics,"Gurugram, Haryana",Hybrid,3,3 months,,5000,10000,SQL|Excel|Data Analysis|A/B Testing|Communication,"Product Analyst Intern focused on practical work, mentoring, and project-based learning in Product Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0087,Flipkart,Project Coordinator Intern,Project Management,"Pune, Maharashtra",Hybrid,4,4 months,,7000,15000,Communication|Excel|Jira|Documentation|Problem Solving,"Project Coordinator Intern focused on practical work, mentoring, and project-based learning in Project Management.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0088,Paytm,Technical Support Intern,IT Support,"Remote, India",Remote,6,6 months,,8000,11000,Networking|Linux|Troubleshooting|SQL|Communication,"Technical Support Intern focused on practical work, mentoring, and project-based learning in IT Support.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0089,PhonePe,Embedded Systems Intern,Embedded,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,15000,C|C++|Embedded Systems|Linux|Debugging,"Embedded Systems Intern focused on practical work, mentoring, and project-based learning in Embedded.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0090,Ola,IoT Intern,IoT,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,20000,Python|IoT|MQTT|Linux|Cloud,"IoT Intern focused on practical work, mentoring, and project-based learning in IoT.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0091,Uber,Robotics Intern,Robotics,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,8000,Python|C++|ROS|Robotics|Computer Vision,"Robotics Intern focused on practical work, mentoring, and project-based learning in Robotics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
